case_id,case_name,amount,km_from_last,same_device,velocity_2m,category,is_night,hard_reasons,expected_status,expected_alert,model_features
fraud-case-001,safe,1000,10,True,0,UPI_GROCERY,False,[],posted,False,"{'amount': 1000, 'log_amount': 6.90875477931522, 'hour': 12, 'is_night': 0, 'km_from_last': 10, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 1.0, 'balance_ratio': 0.05, 'is_new_payee': 0, 'payee_frequency_30d': 4}"
fraud-case-002,geo_exact_distance,15001,250,True,0,UNKNOWN,False,[],posted,False,"{'amount': 15001, 'log_amount': 9.615938804529582, 'hour': 12, 'is_night': 0, 'km_from_last': 250, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 12.500833333333333, 'balance_ratio': 0.30002, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-003,geo_below_amount,15000,300,True,0,UNKNOWN,False,[],posted,False,"{'amount': 15000, 'log_amount': 9.61587214452889, 'hour': 12, 'is_night': 0, 'km_from_last': 300, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 12.5, 'balance_ratio': 0.3, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-004,geo_above,15001,251,True,0,UNKNOWN,False,['GEO_JUMP_HIGH_VALUE'],blocked,True,"{'amount': 15001, 'log_amount': 9.615938804529582, 'hour': 12, 'is_night': 0, 'km_from_last': 251, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 12.500833333333333, 'balance_ratio': 0.30002, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-005,velocity_below,1000,0,True,4,UNKNOWN,False,[],posted,False,"{'amount': 1000, 'log_amount': 6.90875477931522, 'hour': 12, 'is_night': 0, 'km_from_last': 0, 'same_device': 1, 'velocity_2m': 4, 'amount_vs_typical': 0.8333333333333334, 'balance_ratio': 0.02, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-006,velocity_exact,1000,0,True,5,UNKNOWN,False,['VELOCITY_5_DEBITS_2M'],blocked,True,"{'amount': 1000, 'log_amount': 6.90875477931522, 'hour': 12, 'is_night': 0, 'km_from_last': 0, 'same_device': 1, 'velocity_2m': 5, 'amount_vs_typical': 0.8333333333333334, 'balance_ratio': 0.02, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-007,new_device_exact_amount,20000,0,False,0,UNKNOWN,False,[],posted,False,"{'amount': 20000, 'log_amount': 9.90353755128617, 'hour': 12, 'is_night': 0, 'km_from_last': 0, 'same_device': 0, 'velocity_2m': 0, 'amount_vs_typical': 16.666666666666668, 'balance_ratio': 0.4, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-008,new_device_above,20001,0,False,0,UNKNOWN,False,['NEW_DEVICE_HIGH_VALUE'],blocked,True,"{'amount': 20001, 'log_amount': 9.90358754753646, 'hour': 12, 'is_night': 0, 'km_from_last': 0, 'same_device': 0, 'velocity_2m': 0, 'amount_vs_typical': 16.6675, 'balance_ratio': 0.40002, 'is_new_payee': 1, 'payee_frequency_30d': 0}"
fraud-case-009,watchlist,100,0,True,0,WATCHLIST,False,['WATCHLIST_PAYEE'],blocked,True,"{'amount': 100, 'log_amount': 4.61512051684126, 'hour': 12, 'is_night': 0, 'km_from_last': 0, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 0.08333333333333333, 'balance_ratio': 0.002, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-010,night_exact,40000,0,True,0,UNKNOWN,True,[],review,False,"{'amount': 40000, 'log_amount': 10.596659732783579, 'hour': 23, 'is_night': 1, 'km_from_last': 0, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 33.333333333333336, 'balance_ratio': 0.8, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-011,night_above,40001,0,True,0,UNKNOWN,True,['NIGHT_HIGH_VALUE'],blocked,True,"{'amount': 40001, 'log_amount': 10.596684731846114, 'hour': 23, 'is_night': 1, 'km_from_last': 0, 'same_device': 1, 'velocity_2m': 0, 'amount_vs_typical': 33.33416666666667, 'balance_ratio': 0.80002, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
fraud-case-012,multiple_rules,48000,500,False,5,WATCHLIST,True,"['GEO_JUMP_HIGH_VALUE', 'VELOCITY_5_DEBITS_2M', 'NEW_DEVICE_HIGH_VALUE', 'WATCHLIST_PAYEE', 'NIGHT_HIGH_VALUE']",blocked,True,"{'amount': 48000, 'log_amount': 10.778977123006351, 'hour': 23, 'is_night': 1, 'km_from_last': 500, 'same_device': 0, 'velocity_2m': 5, 'amount_vs_typical': 40.0, 'balance_ratio': 0.96, 'is_new_payee': 1, 'payee_frequency_30d': 0}"
fraud-case-013,missing_previous_location,25000,0,False,0,UNKNOWN,False,['NEW_DEVICE_HIGH_VALUE'],blocked,True,"{'amount': 25000, 'log_amount': 10.12667110305036, 'hour': 12, 'is_night': 0, 'km_from_last': 0, 'same_device': 0, 'velocity_2m': 0, 'amount_vs_typical': 20.833333333333332, 'balance_ratio': 0.5, 'is_new_payee': 0, 'payee_frequency_30d': 0}"
